DATE,A191RP1Q027SBEA
1980-01-01,10
1980-04-01,1.1
1980-07-01,8.7
1980-10-01,19.3
1981-01-01,19.9
1981-04-01,5.0
1981-07-01,13.0
1981-10-01,2.5
1982-01-01,-0.8
1982-04-01,7.2
1982-07-01,4.2
1982-10-01,4.4
1983-01-01,8.6
1983-04-01,12.7
1983-07-01,12.9
1983-10-01,11.9
1984-01-01,12.5
1984-04-01,10.8
1984-07-01,7.7
1984-10-01,6.4
1985-01-01,8.1
1985-04-01,6.3
1985-07-01,8.8
1985-10-01,5.3
1986-01-01,5.9
1986-04-01,3.4
1986-07-01,5.6
1986-10-01,4.4
1987-01-01,5.7
1987-04-01,7.3
1987-07-01,6.7
1987-10-01,10.5
1988-01-01,5.3
1988-04-01,9.5
1988-07-01,7.3
1988-10-01,9.1
1989-01-01,8.5
1989-04-01,7.6
1989-07-01,6
1989-10-01,3.7
1990-01-01,9.0
1990-04-01,6.1
1990-07-01,3.7
1990-10-01,-0.7
1991-01-01,2.0
1991-04-01,6.2
1991-07-01,5.3
1991-10-01,3.8
1992-01-01,6.4
1992-04-01,6.9
1992-07-01,6.1
1992-10-01,7.1
1993-01-01,2.9
1993-04-01,4.8
1993-07-01,4.4
1993-10-01,7.9
1994-01-01,5.9
1994-04-01,7.6
1994-07-01,4.7
1994-10-01,7.0
1995-01-01,3.6
1995-04-01,3.2
1995-07-01,5.5
1995-10-01,4.7
1996-01-01,5.0
1996-04-01,8.6
1996-07-01,5.0
1996-10-01,6.5
1997-01-01,5.1
1997-04-01,7.7
1997-07-01,6.9
1997-10-01,4.8
1998-01-01,4.7
1998-04-01,4.7
1998-07-01,6.9
1998-10-01,7.8
1999-01-01,5.2
1999-04-01,5.0
1999-07-01,6.9
1999-10-01,9.1
2000-01-01,4.2
2000-04-01,10.2
2000-07-01,2.8
2000-10-01,4.6
2001-01-01,1.3
2001-04-01,5.0
2001-07-01,0.0
2001-10-01,2.4
2002-01-01,4.7
2002-04-01,3.9
2002-07-01,3.6
2002-10-01,2.8
2003-01-01,4.1
2003-04-01,5.1
2003-07-01,9.3
2003-10-01,7.3
2004-01-01,5.2
2004-04-01,6.5
2004-07-01,6.5
2004-10-01,7.4
2005-01-01,7.9
2005-04-01,5.0
2005-07-01,7.0
2005-10-01,5.6
2006-01-01,8.5
2006-04-01,4.6
2006-07-01,3.4
2006-10-01,5.0
2007-01-01,5.1
2007-04-01,5.3
2007-07-01,4.6
2007-10-01,4.2
2008-01-01,-0.2
2008-04-01,4.4
2008-07-01,0.9
2008-10-01,-7.6
2009-01-01,-4.8
2009-04-01,-1.4
2009-07-01,1.9
2009-10-01,5.7
2010-01-01,3.1
2010-04-01,6.0
2010-07-01,4.4
2010-10-01,4.5
2011-01-01,1.1
2011-04-01,5.5
2011-07-01,2.3
2011-10-01,5.1
2012-01-01,5.8
2012-04-01,3.5
2012-07-01,2.8
2012-10-01,2.5
2013-01-01,5.2
2013-04-01,1.7
2013-07-01,5.2
2013-10-01,5.4
2014-01-01,0.3
2014-04-01,7.6
2014-07-01,6.6
2014-10-01,2.5
2015-01-01,3.1
2015-04-01,4.6
2015-07-01,2.5
2015-10-01,0.5
2016-01-01,2.0
2016-04-01,4.1
2016-07-01,3.6
2016-10-01,4.2
2017-01-01,4.0
2017-04-01,3.6
2017-07-01,5.0
2017-10-01,6.8
2018-01-01,5.3
2018-04-01,7.1
2018-07-01,3.3
2018-10-01,3.0
2019-01-01,3.7
2019-04-01,5.6
2019-07-01,4.1
2019-10-01,3.6
