date,delta_val
1970-01-01,4.810311502
1970-04-01,7.287992337
1970-07-01,7.289013063
1970-10-01,0.985229644
1971-01-01,3.657770614
1971-04-01,6.051341804
1971-07-01,-0.445832214
1971-10-01,-1.53087186
1972-01-01,-4.35859438
1972-04-01,-5.054525795
1972-07-01,5.809959038
1972-10-01,16.04471706
1973-01-01,-5.348868495
1973-04-01,8.426034362
1973-07-01,2.758795652
1973-10-01,11.14642986
1974-01-01,-2.533514487
1974-04-01,-6.592644641
1974-07-01,0.51717884
1974-10-01,11.3433954
1975-01-01,-5.476190695
1975-04-01,24.30960536
1975-07-01,-17.65616104
1975-10-01,0.648090408
1976-01-01,-2.95006644
1976-04-01,-1.474557549
1976-07-01,-0.067544751
1976-10-01,-3.576722386
1977-01-01,-9.160556577
1977-04-01,9.090504035
1977-07-01,7.944957186
1977-10-01,6.696276475
1978-01-01,2.922963831
1978-04-01,-6.811142586
1978-07-01,4.792071621
1978-10-01,2.371184004
1979-01-01,7.774183368
1979-04-01,-5.286348956
1979-07-01,-1.845496437
1979-10-01,4.049598096
1980-01-01,5.861688643
1980-04-01,8.243229185
1980-07-01,5.707750442
1980-10-01,9.150987872
1981-01-01,-5.681390022
1981-04-01,0.88183993
1981-07-01,15.99035721
1981-10-01,7.805506497
1982-01-01,-3.342439552
1982-04-01,2.194001664
1982-07-01,0.034995626
1982-10-01,-9.576514683
1983-01-01,0.345954602
1983-04-01,-10.17004699
1983-07-01,0.212179159
1983-10-01,8.216000679
1984-01-01,13.8691815
1984-04-01,4.389002294
1984-07-01,6.516860886
1984-10-01,-2.875449305
1985-01-01,-18.71008389
1985-04-01,11.8287195
1985-07-01,-23.57393474
1985-10-01,11.36628338
1986-01-01,5.861268364
1986-04-01,3.275517339
1986-07-01,-10.09044542
1986-10-01,-4.829201307
1987-01-01,12.46424452
1987-04-01,-29.52866718
1987-07-01,12.32810406
1987-10-01,16.63076101
1988-01-01,-0.968965055
1988-04-01,5.677768665
1988-07-01,3.646498672
1988-10-01,-0.197303583
1989-01-01,10.01461545
1989-04-01,-8.155765252
1989-07-01,-2.486225541
1989-10-01,5.44681102
1990-01-01,2.875449305
1990-04-01,5.109516443
1990-07-01,-3.177672483
1990-10-01,-0.179533262
1991-01-01,6.493152566
1991-04-01,-0.309206149
1991-07-01,-0.140864934
1991-10-01,11.3419301
1992-01-01,7.232651503
1992-04-01,5.467086657
1992-07-01,-5.936460905
1992-10-01,-5.886188559
1993-01-01,2.634647035
1993-04-01,-6.916646753
1993-07-01,-11.99337844
1993-10-01,-1.837088702
1994-01-01,-5.186006288
1994-04-01,5.156097509
1994-07-01,-2.422158983
1994-10-01,6.323518979
1995-01-01,10.11514398
1995-04-01,-10.60541172
1995-07-01,-0.115707274
1995-10-01,-2.907266861
1996-01-01,2.559339575
1996-04-01,-0.758021122
1996-07-01,3.338439524
1996-10-01,-3.338439524
1997-01-01,0.612693383
1997-04-01,6.175323221
1997-07-01,-7.227964519
1997-10-01,5.434565647
1998-01-01,19.35335228
1998-04-01,-4.81709478
1998-07-01,-3.129839824
1998-10-01,-9.149234042
1999-01-01,1.887357182
1999-04-01,-23.49652903
1999-07-01,-9.862648348
1999-10-01,2.358252249
2000-01-01,12.2868408
2000-04-01,1.280017477
2000-07-01,2.573902292
2000-10-01,-13.16296208
2001-01-01,13.22491995
2001-04-01,-6.890439157
2001-07-01,41.66826457
2001-10-01,-56.75209674
2002-01-01,50.75796205
2002-04-01,0.878618369
2002-07-01,-14.70397426
2002-10-01,1.587334916
2003-01-01,0.497448336
2003-04-01,7.008916248
2003-07-01,6.184131499
2003-10-01,-6.892747782
2004-01-01,-2.961520403
2004-04-01,8.308856272
2004-07-01,-8.993182856
2004-10-01,6.235850166
2005-01-01,-42.28191228
2005-04-01,-18.27592893
2005-07-01,-7.876652293
2005-10-01,20.37236078
2006-01-01,37.40653542
2006-04-01,-12.34810568
2006-07-01,-10.5527614
2006-10-01,6.0310008
2007-01-01,6.60516929
2007-04-01,-7.236484518
2007-07-01,-9.006745548
2007-10-01,2.328872376
2008-01-01,29.83728599
2008-04-01,46.43989041
2008-07-01,-32.53252494
2008-10-01,36.3124049
2009-01-01,0.923060197
2009-04-01,16.09059408
2009-07-01,-24.49229966
2009-10-01,0.848292199
2010-01-01,-5.543990508
2010-04-01,11.65612884
2010-07-01,-0.352086089
2010-10-01,-3.273359581
2011-01-01,14.33860193
2011-04-01,-4.077051314
2011-07-01,2.722503997
2011-10-01,-3.454477125
2012-01-01,17.6253051
2012-04-01,8.9694971
2012-07-01,-3.049221775
2012-10-01,29.04670355
2013-01-01,-68.78826698
2013-04-01,7.816477285
2013-07-01,3.49400682
2013-10-01,-11.2766145
2014-01-01,13.52020248
2014-04-01,8.244047697
2014-07-01,2.461952556
2014-10-01,-1.513050221
2015-01-01,-0.758400168
2015-04-01,5.023917728
2015-07-01,3.180929764
2015-10-01,3.482786015
2016-01-01,2.236534053
2016-04-01,-2.721501056
2016-07-01,-0.572857926
